matchTime,map,profile,name,team,win,scoreA,scoreB,kills,assists,deaths
2026-04-29 23:56:00 GMT,Cache,https://play.refrag.gg/user/3650bbdd-bc09-4b63-ae5e-dd9153016b0a,Train!,A,1,13,5,24,7,12
2026-04-29 23:56:00 GMT,Cache,refrag://player/calvinho2-0,Calvinho2.0,A,1,13,5,15,2,10
2026-04-29 23:56:00 GMT,Cache,refrag://player/mestre-ensinador,mestre ensinador,A,1,13,5,15,4,14
2026-04-29 23:56:00 GMT,Cache,refrag://player/tinenem,tineném,A,1,13,5,12,8,11
2026-04-29 23:56:00 GMT,Cache,refrag://player/leif,leif,A,1,13,5,10,5,10
2026-04-29 23:56:00 GMT,Cache,https://play.refrag.gg/user/53b63b7c-0fe1-4ce5-821c-cdd6957a71d6,gangstarr,B,0,13,5,20,7,15
2026-04-29 23:56:00 GMT,Cache,refrag://player/bz1,Bz1,B,0,13,5,12,6,16
2026-04-29 23:56:00 GMT,Cache,refrag://player/pedrao,Pedrão,B,0,13,5,11,4,17
2026-04-29 23:56:00 GMT,Cache,refrag://player/lampiao,Lampião,B,0,13,5,8,3,14
2026-04-29 23:56:00 GMT,Cache,refrag://player/s0rry,s0rry,B,0,13,5,6,3,14
2026-04-29 00:36:00 GMT,Cache,https://play.refrag.gg/user/3650bbdd-bc09-4b63-ae5e-dd9153016b0a,Train!,A,1,19,17,32,11,26
2026-04-29 00:36:00 GMT,Cache,refrag://player/bedim,bedim,A,1,19,17,33,7,25
2026-04-29 00:36:00 GMT,Cache,https://play.refrag.gg/user/fefbe0e0-55ab-4571-b5fe-d8a24fb8b67d,Black$Fox,A,1,19,17,28,9,26
2026-04-29 00:36:00 GMT,Cache,refrag://player/gb,GB,A,1,19,17,22,3,25
2026-04-29 00:36:00 GMT,Cache,refrag://player/calvinho2-0,Calvinho2.0,A,1,19,17,14,9,28
2026-04-29 00:36:00 GMT,Cache,https://play.refrag.gg/user/53b63b7c-0fe1-4ce5-821c-cdd6957a71d6,gangstarr,B,0,19,17,36,12,23
2026-04-29 00:36:00 GMT,Cache,refrag://player/leif,leif,B,0,19,17,28,8,23
2026-04-29 00:36:00 GMT,Cache,refrag://player/pedrao,Pedrão,B,0,19,17,27,5,26
2026-04-29 00:36:00 GMT,Cache,refrag://player/mestre-ensinador,mestre ensinador,B,0,19,17,25,6,28
2026-04-29 00:36:00 GMT,Cache,refrag://player/berna-o-cara-ideal,Berna o cara ideal,B,0,19,17,13,10,29
