matchTime,map,profile,name,team,win,scoreA,scoreB,kills,assists,deaths
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/Gutze,gangstarr,A,1,13,2,34,3,7
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/darkbakod,Black$Fox,A,1,13,2,15,6,8
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/profiles/76561198054136932,Lampião,A,1,13,2,9,4,7
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/pedropaetzhold,Pedrão,A,1,13,2,8,7,9
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/profiles/76561198347726070,Calvinho2.0,A,1,13,2,5,9,7
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/traincsgo,Train!,B,0,13,2,9,5,14
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/batzin,tineném,B,0,13,2,7,2,14
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/profiles/76561199230166436,fait,B,0,13,2,9,3,13
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/id/gbrito660,GB,B,0,13,2,7,2,15
2026-04-30 23:50:39 GMT,Dust II,https://steamcommunity.com/profiles/76561199334202663,mestre ensinador,B,0,13,2,6,4,15
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/Gutze,gangstarr,A,1,13,6,38,0,9
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/profiles/76561198054136932,Lampião,A,1,13,6,14,5,11
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/profiles/76561198859099346,s0rry,A,1,13,6,11,8,9
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/pedropaetzhold,Pedrão,A,1,13,6,10,5,12
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/profiles/76561198253002806,Bz1,A,1,13,6,7,2,10
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/traincsgo,Train!,B,0,13,6,19,2,15
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/prnzika,leif,B,0,13,6,10,2,18
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/batzin,tineném,B,0,13,6,8,1,15
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/profiles/76561199230166436,fait,B,0,13,6,8,1,15
2026-04-30 00:02:00 GMT,Nuke,https://steamcommunity.com/id/gbernardon,Berna o cara ideal,B,0,13,6,5,4,17
2026-04-29 15:43:45 GMT,Overpass,https://steamcommunity.com/id/Gutze,gangstarr,A,1,16,12,38,4,18
2026-04-29 15:43:45 GMT,Overpass,https://steamcommunity.com/id/batzin,tineném,A,1,16,12,20,14,18
